问题,预期意图,风险,是否处于意图边界
服务态度恶劣,OOS,high,否
账户被强平请求帮助,OOS,high,否
实在太我亏了50万都不想活了,OOS,high,否
绝对我觉得人生绝望了了,OOS,high,否
为什么冻结我的号？,OOS,high,否
我账户一直亏怎么办？？有没有专家帮我看一下,OOS,high,否
我要申请退款，不然我就投诉到消协。,OOS,high,否s
账户被盗用了,OOS,high,否
都是骗人的,OOS,high,否
商业航天都有什么股票，下周走势建议个股,OOS,mid,否
未来国家往哪几个方向发展？关键到哪几个方面的股票,OOS,mid,否
山东墨龙 挂单量以及后市如何判断,OOS,mid,否
代码300855的股票未来可期？如何止盈止损,OOS,mid,否
科大讯飞股票支撑位、压力位各是多少？未来5个交易日走势如何？今天是否适合买入？,OOS,mid,否
恒生电子涨停的逻辑是啥?同类型的股票有哪些？,OOS,mid,否
根据今日上证指数及盘面上所有数据分析一下明天。资金会主力集中分布在哪些板块？,OOS,mid,否
分析化工新材料股里与商业航天及新能源相关的化工新材料公司并推荐,OOS,mid,否
帮我选一下子啊，诊股一里头那个四项能力叠加的股票呗。适合于短线开仓的。,OOS,mid,否
东方财富股票支撑位、压力位各是多少？未来5个交易日走势如何？今天是否适合买入？,OOS,mid,否
603708，明日如何操作，主力资金还在么,OOS,mid,否
通宇通讯主力均价多少，今天主力会护盘吗,OOS,mid,否
液冷龙头股是谁，哪个股票投资确定性高,OOS,mid,否
歌尔股份。30左右能不能入手？未来趋势如何？,OOS,mid,否
医保异地结算,OOS,low,否
门诊怎么报销,OOS,low,否
工伤保险认定,OOS,low,否
怎么投诉商家,OOS,low,否
水电费怎么交,OOS,low,否
违章查询,OOS,low,否
幼儿园报名,OOS,low,否
信用卡怎么还款,OOS,low,否
什么是“乌云盖顶”K线形态？长春高新今天收盘走出了这个形态吗？后市该怎么看。,OOS,mid,否
“仙人指路”形态代表什么意思？工业富联昨天的K线符合吗？今天适合建仓吗？,OOS,mid,否
什么是“三只乌鸦”形态？帮我避雷，选出今天盘面上出现这种下跌形态的股票。,OOS,mid,否
查一下什么是“专精特新”小巨人企业，然后在这些企业里选出目前处于均线多头排列的股票。,OOS,mid,否
解释下什么是“量价齐升”，帮我在今天涨幅超过5%的股票里筛选出符合量价齐升特征的短线标的。,OOS,mid,否
帮我选出今天北向资金净买入排名前五的股票，并详细诊断一下排第一的那只下周怎么操作。,OOS,mid,否
筛选出目前市净率低于1的钢铁股，并帮我分析一下其中市值最大的一只现在能不能买入。,OOS,mid,否
帮我找几只兼具华为概念和国企改革的股票，顺便诊断下其中龙头股的短期阻力位。,OOS,mid,否
选出近一个月机构调研次数最多的3只股票，并帮我诊断它们现在的筹码分布情况是高度集中还是发散。,OOS,mid,否
帮我在连续跌停的股票里选几只有可能错杀的，并诊断一下它们的底部支撑位到底在哪里。,OOS,mid,否
查一下关于苹果Vision Pro降价的新闻，然后帮我选出相关的果链概念股，并诊断立讯精密后市走势。,OOS,mid,否
什么是“龙回头”战法？结合最新的游资炒作新闻，帮我在热门题材里选两只可能走龙回头的股票。,OOS,mid,否
看看今天晚上美股英伟达的新闻，然后帮我选出A股对标的算力龙头，并诊断其明天A股开盘的可能走势。,OOS,mid,否
帮我查一下“市销率(PS)”的用法，然后结合近期Sora模型的新闻，选出几只有潜力的AI应用股票。,OOS,mid,否
结合最近新能源车降价战的新闻，帮我选出两只毛利率最抗压的整车股，并重点诊断长安汽车的投资价值。,OOS,mid,否
查一下关于央企市值管理考核的最新政策文件，然后帮我选出严重破净的中字头股票并诊断其补涨空间。,OOS,mid,否
什么是“筹码单峰密集”？帮我选出目前呈现底部的单峰密集形态的半导体股票，并诊断现在的买入时机。,OOS,mid,否
看看关于最近猪肉价格连续上涨的农业新闻，帮我筛选出受益的生猪养殖股，并诊断牧原股份的压力位。,OOS,mid,否
帮我查下“葛兰碧八大法则”的买点特征，然后在今天放量突破年线的股票里选出两只并进行趋势诊断。,OOS,mid,否
结合最近关于低空经济立法的相关新闻，帮我选出产业链上游的碳纤维概念股，并诊断光威复材的走势。,OOS,mid,否
什么是“早晨之星”？帮我从今天的新能源板块里选出走出早晨之星形态的股票，并分析后续的上涨空间。,OOS,mid,否
看看最新一期CPI和PPI数据公布的新闻，结合这个宏观数据帮我选出抗通胀的资源股并诊断紫金矿业短线趋势。,OOS,mid,否
解释一下财报里的“合同负债”是什么意思，然后帮我在白酒板块里选出合同负债大增的股票进行基本面诊断。,OOS,mid,否
查一下近期关于人形机器人量产的新闻，帮我挑选出减速器龙头的股票，并分析一下它的短线强支撑位。,OOS,mid,否
什么是“底背离”？结合周末利好出尽的新闻，帮我在券商板块选出还在底背离区间的股票并分别诊断一下。,OOS,mid,否
看看最近有没有关于限制量化交易的新闻，然后帮我选出几只散户控盘度高的小盘股，并诊断其防守安全性。,OOS,mid,否
帮我查下什么是“海龟交易法则”，结合今天大盘的新闻走势，帮我选出刚突破20日新高的股票并诊断后市。,OOS,mid,否
结合昨晚欧央行降息的新闻，帮我选出A股受益的外向型出口企业，并具体诊断一下相关龙头的基本面情况。,OOS,mid,否
解释一下“量比”和“委比”的区别，帮我选出今天早盘量比大于5的股票，并诊断其中哪只形态最适合打板。,OOS,mid,否
查下关于近期电力体制改革的文件新闻，帮我选出几只虚拟电厂概念股，并诊断一下国电南瑞现在能建仓吗？,OOS,mid,否
什么是“红三兵”K线组合？帮我选出昨天或者今天走出红三兵的储能概念股，并诊断其能不能持续拉升。,OOS,mid,否
结合最近有关房地产白名单落地的资讯，帮我筛选出资产负债表健康的地产股，并诊断保利发展的短线趋势。,OOS,mid,否
Ai企业应用落地方面股票,选股类,,否
股票涨幅触发严重异动是啥意思,知识库类,,否
成分骨有哪些,选股类,知识库类,是
301299未来趋势,预测类,,否
明天进哪个票,推荐类,,否
核聚变核心股有那几个,选股类,,否
旋极信息还会涨吗,预测类,,否
指南针K綫图中园圈战是什么意思,知识库类,,否
航空发展往后怎么走，是走还是留,预测类,,否
筹码集中度高说明什么,知识库类,,否
明日有哪些股票值得关注？,推荐类,,否
破净股是什么意思,知识库类,,否
景旺电子交易策略。,策略类,,否
603228交易策略,知识库类,,否
如何判断筹码峰的股票涨跌态势,知识库类,,否
多模态大模型相关股票有哪些,选股类,,否
席位怎么调出,知识库类,,否
603228交易策略,策略类,,否
帮我分析一下索通发展,诊股类,,否
华西股份,诊股类,,否
股票航天发展明天会崩盘嘛,预测类,,否
楚江新林,诊股类,身份类,是
今日首板涨停的个股,选股类,,否
航天板块资金流入多且涨幅小的股票列出来,选股类,,否
陈小琴池庄的股票,选股类,,否
300324明天走势分析,预测类,,否
筹码分布中的重合度有什么意义,知识库类,,否
帮我分析一下润和软件,诊股类,,否
自选删除了还能不能恢复,知识库类,,否
再升科技,诊股类,身份类,是
指南针股票软件的集合竞价分析如何用,知识库类,,否
中国能建,诊股类,,否
在哪里查看游资买入资金量,知识库类,指标查询类,是
深夜挂单有用吗,知识库类,,否
帮我分析一下漫步者,诊股类,,否
指南针擒龙版积分在哪里查看,知识库类,,否
601949趋势,诊股类,"K线图类, 预测类",是
000560走势分析,诊股类,,否
明日买什么,推荐类,,否
三七互娱怎么看,诊股类,,否
博纳影业,诊股类,身份类,是
给我简单介绍一下你自己,身份类,,否
怎么查北向资金动向,知识库类,指标查询类,是
我不想跟机器说话，你能帮我转接人工吗？,身份类,,否
擒龙平台是当天选出来，明天买入吗，还是当天买入,知识库类,策略类,是
你是谁？,身份类,,否
锁定因子在股市中的作用,知识库类,,否
你能帮我做些什么？,身份类,,否
你是哪家公司开发的大模型助手？,身份类,,否
90%筹码和30%筹码有什么意义,知识库类,,否
现在的主线是什么,新闻类,,否
分析下华胜天成,诊股类,,否
水晶光电,诊股类,身份类,是
乐凯胶片,诊股类,身份类,是
兴业股份,诊股类,身份类,是
上海电影未来趋势,预测类,,否
北证股票是什么意思,知识库类,,否
科大国创下一步走势？,预测类,,否
近期热门概念板块前五名,选股类,,否
AI应用有哪些个走走的强势,选股类,,否
近期热门概念前5个,选股类,,否
近期5日内主力资金净注入超过5千万，涨幅低于4%的，航天军工板块和计算机应用板块有哪些股票,选股类,,否
怎么设置自动买卖,知识库类,,否
盐湖股份,诊股类,,否
海光信息最近为什么一直盘着,诊股类,新闻类,是
002324可以继续持有吗,诊股类,,否
股市中GEO概念指的是哪方面,知识库类,,否
指南针怎么实现量化工具自动买卖点,知识库类,,否
紫光股份,诊股类,身份类,是
星源材质未来趋势,预测类,,否
核聚变有哪些行业，包括哪些板块,选股类,知识库类,是
